timestamp,risky_weight_sum
2021-01-31 00:00:00+00:00,0.012903225806451613
2021-02-28 00:00:00+00:00,0.02821996816965496
2021-03-31 00:00:00+00:00,0.016129032258064516
2021-04-30 00:00:00+00:00,0.03074646796035112
2021-05-31 00:00:00+00:00,0.0014679761054851325
2021-06-30 00:00:00+00:00,0.0033333333333333335
2021-07-31 00:00:00+00:00,0.0
2021-08-31 00:00:00+00:00,0.025207536807687017
2021-09-30 00:00:00+00:00,0.014660396272255651
2021-10-31 00:00:00+00:00,0.030901096749923394
2021-11-30 00:00:00+00:00,0.016666666666666666
2021-12-31 00:00:00+00:00,0.008733201659678386
2022-01-31 00:00:00+00:00,0.0
2022-02-28 00:00:00+00:00,0.0
2022-03-31 00:00:00+00:00,0.0
2022-04-30 00:00:00+00:00,0.013570604480971325
2022-05-31 00:00:00+00:00,0.0
2022-06-30 00:00:00+00:00,0.0
2022-07-31 00:00:00+00:00,0.0
2022-08-31 00:00:00+00:00,0.0013864176641025792
2022-09-30 00:00:00+00:00,0.006680200138284049
2022-10-31 00:00:00+00:00,0.007120383105652839
2022-11-30 00:00:00+00:00,0.0023824127103921097
2022-12-31 00:00:00+00:00,0.0
2023-01-31 00:00:00+00:00,0.015848184122252845
2023-02-28 00:00:00+00:00,0.013277213256460895
2023-03-31 00:00:00+00:00,0.013507238946263897
2023-04-30 00:00:00+00:00,0.015922518384598537
2023-05-31 00:00:00+00:00,0.01207160307825221
2023-06-30 00:00:00+00:00,0.0012373086306649217
2023-07-31 00:00:00+00:00,0.015310517789645208
2023-08-31 00:00:00+00:00,0.0
2023-09-30 00:00:00+00:00,0.0
2023-10-31 00:00:00+00:00,0.010499760196275113
2023-11-30 00:00:00+00:00,0.04560695926448196
2023-12-31 00:00:00+00:00,0.014009109561662078
2024-01-31 00:00:00+00:00,0.01706519803861554
2024-02-29 00:00:00+00:00,0.013793103448275864
2024-03-31 00:00:00+00:00,0.030784363210442162
2024-04-30 00:00:00+00:00,0.004699308840981789
2024-05-31 00:00:00+00:00,0.017448601416915146
2024-06-30 00:00:00+00:00,0.008149790828202408
2024-07-31 00:00:00+00:00,0.012120550440549554
2024-08-31 00:00:00+00:00,0.003597443301466098
2024-09-30 00:00:00+00:00,0.008659535092062099
2024-10-31 00:00:00+00:00,0.011920772577430183
2024-11-30 00:00:00+00:00,0.016666666666666666
2024-12-31 00:00:00+00:00,0.02330172071480902
