universe,n_symbols,trend_nav_100k,trend_cagr_pct,trend_sharpe,trend_max_dd_pct,trend_calmar,equal_sharpe,equal_max_dd_pct,equal_calmar,calmar_lift_pct
crypto_top_5,5,377122.51126764674,39.322727859463555,1.3734662450862414,-34.614683051281446,1.1360129399771528,1.4102348036808314,-78.92687438199671,1.5009166482541274,-24.31205681550885
crypto_top_10,10,481214.3184823416,48.070272791556334,1.5827419273092778,-29.96520582187636,1.6042029905385202,1.3508906062970116,-81.98882924646117,1.4405286137925537,11.362105214630382
crypto_top_5_no_sol,4,219571.82431317287,21.712645852682577,0.8787258360574693,-36.84259585671291,0.5893353969173815,1.1952178760533358,-73.75770325951491,1.1315842353364383,-47.91944085875652
