lookback,CAGR,Sharpe,MaxDD,vs_S3_alpha_ann,vs_S3_IR,vs_S3_t,mean_|Δw|
10,0.008933034054640965,0.15733454966964408,-0.44968371854645084,-0.01338047663783426,-0.26503172439055667,-0.5805113859899437,0.08926392085437937
20,-0.002981468347780236,0.1077245642399478,-0.4872588062633644,-0.025615973166079067,-0.49426253096189987,-1.0826063466604883,0.09159004685739079
60,0.016175940746778528,0.1866211040269703,-0.4853011442119922,-0.006661628343260914,-0.13806439710188753,-0.3024089086005978,0.08663017968660884
