universe,n_symbols,final_nav_100k,cagr_pct,sharpe,max_dd_pct,vol_ann_pct
crypto_btc_eth_2,2,424749.99098809203,43.524440030179925,0.8738013820328411,-76.23656910479414,67.89559233677558
crypto_top_3,3,1904150.3682880655,108.78838420217902,1.3431047578072532,-85.21818394258143,77.36233526028768
crypto_top_5,5,2282646.5411905507,118.46265975460106,1.4102348036808314,-78.92687438199671,76.10974853983694
crypto_top_10,10,2267818.5714747333,118.1072545408791,1.3508906062970116,-81.98882924646117,83.66668722992735
