date,symbol,size,kind,price
2020-01-02,511990,999.700189913045,init_buy,100.02999
2020-02-03,511990,-50.0470332008615,dca_cash_out,99.90602200000001
2020-02-03,510300,257.15247758440427,dca_buy,3.2406194999999998
2020-02-03,510500,188.1447650544128,dca_buy,4.4292134999999995
2020-02-03,159915,498.75261969813505,dca_buy,1.6708349999999998
2020-02-03,512100,476.2246282995343,dca_buy,1.7498745
2020-02-03,512880,930.6333797719391,dca_buy,0.8954475
2020-02-03,512170,1764.6543959658593,dca_buy,0.47223599999999993
2020-02-04,510300,1714.4202167111937,swing_buy,3.1605794999999994
2020-02-04,510500,1223.0927993736386,swing_buy,4.4232105
2020-02-04,159915,3145.2549824123166,swing_buy,1.7168579999999998
2020-02-04,512100,3142.007553363333,swing_buy,1.722861
2020-02-04,512880,6179.118987213489,swing_buy,0.8754375
2020-02-04,512170,12776.728756480936,swing_buy,0.42621299999999995
2020-02-12,510300,766.8777121673188,swing_buy,3.449724
2020-02-12,510500,549.8847394281432,swing_buy,4.814406
2020-02-12,159915,1286.546391461176,swing_buy,1.9439715
2020-02-12,512100,1352.4387577177033,swing_buy,1.9119555
2020-02-12,512880,2911.2259895242314,swing_buy,0.9334665
2020-02-12,512170,5391.560709473585,swing_buy,0.47723849999999995
2020-02-20,510300,381.1542866573987,swing_buy,3.565782
2020-02-20,510500,248.89622703055457,swing_buy,5.0615295
2020-02-20,512170,2722.969320816625,swing_buy,0.490245
2020-03-02,511990,-50.02551276138074,dca_cash_out,99.9490005
2020-03-02,510300,240.9363248180172,dca_buy,3.4587285
2020-03-02,510500,167.9606523282689,dca_buy,4.961479499999999
2020-03-02,159915,411.11395601968684,dca_buy,2.0270129999999997
2020-03-02,512100,413.9745899084918,dca_buy,2.013006
2020-03-02,512880,832.0847901057797,dca_buy,1.0015005
2020-03-02,512170,1652.612847015646,dca_buy,0.5042519999999999
2020-04-01,511990,-50.02251138068409,dca_cash_out,99.9549975
2020-04-01,510300,262.5013787884921,dca_buy,3.1745864999999998
2020-04-01,510500,184.88720863393684,dca_buy,4.5072525
2020-04-01,159915,463.24631529248353,dca_buy,1.798899
2020-04-01,512100,449.9821042117155,dca_buy,1.8519255
2020-04-01,512880,903.3805584554073,dca_buy,0.922461
2020-04-01,512170,1753.5092103071274,dca_buy,0.4752374999999999
2020-05-06,511990,-50.03551996544587,dca_cash_out,99.9290105
2020-05-06,510300,246.86332984466077,dca_buy,3.375687
2020-05-06,510500,173.5966808870124,dca_buy,4.800399
2020-05-06,159915,420.66508833125533,dca_buy,1.9809899999999998
2020-05-06,512100,429.78166919292335,dca_buy,1.938969
2020-05-06,512880,894.6475562791466,dca_buy,0.9314655
2020-05-06,512170,1595.6261971185545,dca_buy,0.522261
2020-05-11,512170,-2313.0673791454315,swing_sell,0.549725
2020-06-01,511990,-50.02851450226829,dca_cash_out,99.9430035
2020-06-01,510300,244.4722262682376,dca_buy,3.4087034999999997
2020-06-01,510500,169.56776769053045,dca_buy,4.9144559999999995
2020-06-01,159915,411.5201951066628,dca_buy,2.025012
2020-06-01,512100,412.9483762498193,dca_buy,2.0180084999999996
2020-06-01,512880,895.6095428988016,dca_buy,0.930465
2020-06-01,512170,1463.8257906781819,dca_buy,0.5692845
2020-06-02,512170,-2384.1238836427897,swing_sell,0.575712
2020-06-30,512170,-2101.852025522305,swing_sell,0.6646675000000001
2020-07-01,511990,-50.038022392075064,dca_cash_out,99.924013
2020-07-01,510300,225.35629732031532,dca_buy,3.697848
2020-07-01,510500,155.39493934624727,dca_buy,5.36268
2020-07-01,159915,352.48280782728966,dca_buy,2.3641815
