timestamp,s2,bh_510300
2020-01-02,99945.02648655667,100743.70640527079
2020-01-03,99966.02019054485,100468.29988147289
2020-01-06,99967.01989073477,100027.64944339625
2020-01-07,99968.01959092468,100908.95031954953
2020-01-08,99973.01809187424,99779.78357197816
2020-01-09,99978.0165928238,100991.5722766889
2020-01-10,99994.01179586242,100964.03162430911
2020-01-13,99965.02049035495,102203.36098139963
2020-01-14,99968.01959092468,101707.62923856343
2020-01-15,99973.01809187424,100826.32836241016
2020-01-16,99996.01119624224,100661.08444813141
2020-01-17,100023.00310136989,100798.78771003037
2020-01-20,99976.01719244398,101625.00728142406
2020-01-21,99996.01119624224,99531.91770056004
2020-01-22,100030.0010026993,99917.48683387709
2020-01-23,100115.97521903181,96529.98659116296
2020-02-03,99872.41569971404,87248.78673917383
2020-02-04,101209.02268425688,90305.79915333047
2020-02-05,102131.46358852349,91324.8032913827
2020-02-06,103317.56261571184,93803.46200556378
2020-02-07,103411.38981486481,93555.59613414566
2020-02-10,103684.51670564243,93913.62461508294
2020-02-11,103687.73004142105,95070.3320150341
2020-02-12,104819.72666039024,95841.47028166821
2020-02-13,104347.37640681711,95263.11658169264
2020-02-14,104602.14773657896,96006.71419594696
2020-02-17,106785.88695998825,98402.75095298866
2020-02-18,107143.21652204698,97714.23464349392
2020-02-19,106602.74298607267,97741.77529587371
2020-02-20,108358.98099073404,100247.97466243457
2020-02-21,109153.29370632528,100633.54379575163
2020-02-24,110028.98651323646,99724.70226721857
2020-02-25,110232.14699232172,99504.37704818025
2020-02-26,108315.75532983366,98567.9948672674
2020-02-27,108652.45498712058,98595.5355196472
2020-02-28,105354.90555301444,94794.92549123621
2020-03-02,108159.28219309467,98733.23878154614
2020-03-03,109006.75676126004,98650.61682440677
2020-03-04,109305.7972824452,99449.29574342068
2020-03-05,110708.41320434108,102148.27967664006
2020-03-06,109945.44514308547,99972.56813863666
2020-03-09,107313.10811517692,96364.74267688423
2020-03-10,108808.76976914193,98788.32008630571
2020-03-11,107447.49258177797,96943.0963768598
2020-03-12,106002.9400778501,95208.03527693305
2020-03-13,105275.46351111657,93583.13678652546
2020-03-16,101728.16805382658,89094.01044861974
2020-03-17,101602.78475714903,88185.16892008667
2020-03-18,100495.31043378636,86477.64847253972
2020-03-19,100560.43718926853,85513.72563924707
2020-03-20,101547.23493879742,86835.67695347698
2020-03-23,98959.58386733838,83585.8799726618
2020-03-24,100406.50572930598,85926.83542494391
2020-03-25,102187.93940463196,88543.19740102394
2020-03-26,102050.45512360614,87909.76239628879
2020-03-27,101710.333559575,88377.9534867452
2020-03-30,100428.64797998764,87441.57130583235
2020-03-31,100434.2976687164,87524.19326297172
2020-04-01,100220.53865816229,87634.35587249088
2020-04-02,101847.13767432907,89011.38849148038
2020-04-03,101360.93982764504,88295.33152960583
2020-04-07,103435.34811092254,90581.20567712838
2020-04-08,103276.7613724448,90168.09589143154
2020-04-09,104407.92882081412,90471.04306760922
2020-04-10,103275.33317926161,90140.55523905174
2020-04-13,102657.604891778,89562.20153907615
2020-04-14,104176.11082562267,91269.72198662312
2020-04-15,103798.85570453909,90663.82763426774
2020-04-16,104580.32147015604,90718.90893902733
2020-04-17,104665.33243709439,91655.29111994017
2020-04-20,105679.70935147455,92095.94155801681
2020-04-21,104921.02991702346,90994.31546282522
2020-04-22,105519.53193280894,91930.69764373808
2020-04-23,105202.15907405868,91737.91307707955
2020-04-24,104061.43779933982,90856.61220092628
2020-04-27,104161.76779310993,91324.8032913827
2020-04-28,104306.87449020034,91985.77894849765
2020-04-29,104236.81122156339,92536.59199609344
2020-04-30,105403.56138634177,94106.40918174146
2020-05-06,106475.29151864533,94381.81570553937
2020-05-07,106362.77764009115,94189.03113888083
2020-05-08,107402.77331366355,95345.73853883201
2020-05-11,106915.29025834473,95152.95397217348
2020-05-12,107344.86672819074,95125.41331979369
2020-05-13,108205.64766454592,95373.2791912118
2020-05-14,107374.5881028829,94464.43766267873
2020-05-15,107333.14517271647,93941.16526746273
2020-05-18,107449.36394008862,94271.6530960202
2020-05-19,108180.67542463307,95070.3320150341
2020-05-20,107440.68820514268,94629.68157695746
2020-05-21,106789.26975432239,93913.62461508294
2020-05-22,105009.33127443114,91545.12851042101
2020-05-25,105065.05960277832,91600.2098151806
2020-05-26,106723.36043787334,92867.07982465092
2020-05-27,105723.06007637804,92371.3480818147
2020-05-28,105621.81974791407,92509.05134371365
2020-05-29,106386.47576146136,92949.7017817903
2020-06-01,109057.03537805812,95758.84832452884
2020-06-02,108750.30078743274,96061.79550070653
2020-06-03,108541.4577872691,96034.25484832675
2020-06-04,108779.14678847906,96089.33615308632
2020-06-05,109203.42127183387,96722.77115782148
2020-06-08,108914.59042550554,97246.0435530375
2020-06-09,109640.97756512913,97989.6411672918
2020-06-10,109917.00931713716,97741.77529587371
2020-06-11,109570.54576686259,96722.77115782148
2020-06-12,110108.78293909105,96998.17768161937
2020-06-15,110076.26586430159,95428.36049597137
2020-06-16,111668.63948420614,97135.88094351834
2020-06-17,112027.49933856569,97246.0435530375
2020-06-18,111940.16621068734,98099.80377681096
2020-06-19,113514.66605826681,99531.91770056004
2020-06-22,114293.31976784032,99642.0803100792
2020-06-23,115250.21526022385,100165.3527052952
2020-06-24,115291.03772878398,101156.81619096763
2020-06-29,114850.65224993645,100165.3527052952
2020-06-30,116676.58820620933,101542.38532428468
2020-07-01,117064.81083682216,104131.20664798493
2020-07-02,118921.55556556732,106830.19058120431
2020-07-03,121868.56551799578,109226.22733824603
2020-07-06,126774.05297356189,118232.02066643725
2020-07-07,126770.33260970392,116910.06935220736
2020-07-08,129260.40966026486,118617.58979975432
2020-07-09,132083.4969871902,120655.59807585875
2020-07-10,131628.64886133067,118259.56131881704
2020-07-13,135096.26108230444,121013.62655679602
2020-07-14,133849.2198052359,119829.37850446506
2020-07-15,131891.03115818338,118232.02066643725
2020-07-16,126276.18850710471,111952.75192384521
2020-07-17,126531.35900553354,113302.24389045489
2020-07-20,129169.37106493748,116662.20348078923
2020-07-21,129862.13367405858,116992.69130934673
2020-07-22,130986.57768995123,118452.34588547557
2020-07-23,131446.24898334005,117736.28892360105
2020-07-24,125727.6586080613,111897.6706190856
2020-07-27,125898.85338695705,112668.80888571974
2020-07-28,126823.94229764478,113632.73171901239
2020-07-29,130118.87207829428,117268.09783314461
2020-07-30,129489.74239055382,116304.17499985197
2020-07-31,130959.87228428078,117295.63848552441
2020-08-03,133443.72501329338,119361.18741400863
2020-08-04,132829.70330306553,119471.35002352779
2020-08-05,133384.8093653617,119526.43132828736
2020-08-06,133461.74230655178,119030.69958545116
2020-08-07,131365.2562091248,117708.74827122125
2020-08-10,131783.0807513154,118149.3987092979
2020-08-11,129679.27018489467,116854.98804744778
2020-08-12,128122.91860819007,115973.68717129451
2020-08-13,128131.40754804139,115560.57738559764
2020-08-14,129767.28263051281,118066.77675215852
2020-08-17,131992.54067229465,120793.3013377577
2020-08-18,132225.7578102664,120600.51677109915
2020-08-19,129908.26619482301,118507.42719023515
2020-08-20,128717.43406424855,117102.85391886588
2020-08-21,129973.30764178748,118232.02066643725
2020-08-24,130837.06911573591,119058.24023783096
2020-08-25,130958.42553135612,119306.10610924906
2020-08-26,129113.00190877581,117681.20761884145
2020-08-27,130348.97505862678,118672.6711045139
2020-08-28,132691.28552576178,121894.92743294929
2020-08-31,132045.72845480044,120710.67938061833
2020-09-01,132822.6651478872,121647.06156153117
2020-09-02,132895.97353395986,121536.89895201202
2020-09-03,132141.55896330703,120986.08590441622
2020-09-04,131112.58877190744,119471.35002352779
2020-09-07,128244.30035732829,116799.90674268818
2020-09-08,129047.70633342821,117460.88239980313
2020-09-09,125814.00530550201,114403.86998564648
2020-09-10,124281.37779940665,114514.03259516566
2020-09-11,125347.94138404437,115505.49608083807
2020-09-14,126076.99722451413,116249.0936950924
2020-09-15,126776.67878824071,117213.01652838504
2020-09-16,125851.97664761369,116441.87826175091
2020-09-17,125520.27614057442,115643.19934273702
2020-09-18,127978.7899444286,118975.61828069159
2020-09-21,127111.16726946954,117460.88239980313
2020-09-22,126510.78773511376,115891.06521415514
2020-09-23,127283.34340890958,116276.6343474722
2020-09-24,125378.90725947455,114156.00411422836
2020-09-25,125640.90767026508,114238.62607136773
2020-09-28,124947.38949585921,114514.03259516566
2020-09-29,125940.52517233562,114816.97977134332
2020-09-30,125847.78184129883,114431.41063802628
2020-10-09,128396.49911157586,116992.69130934673
2020-10-12,132245.87903687274,121068.7078615556
2020-10-13,132413.54519443648,121509.35829963224
2020-10-14,131682.3136237127,120848.38264251727
2020-10-15,130979.83429610946,120517.8948139598
2020-10-16,130849.25888541354,120132.32568064275
2020-10-19,129503.90462494669,119278.56545686927
2020-10-20,130534.14240157235,120104.78502826295
2020-10-21,129800.19493950802,120270.0289425417
2020-10-22,129294.30455311081,119829.37850446506
2020-10-23,127262.26687705773,118287.10197119684
2020-10-26,126848.6704096453,117295.63848552441
2020-10-27,127623.08433402318,117681.20761884145
2020-10-28,128241.46509984531,118782.83371403304
2020-10-29,129243.35428373438,119994.6224187438
2020-10-30,126765.52554392975,117488.42305218293
2020-11-02,127266.16420807746,118259.56131881704
2020-11-03,128939.7110137884,119664.13459018631
2020-11-04,128932.84541111466,120683.13872823853
2020-11-05,130324.03871072517,122776.22830910256
2020-11-06,129301.2984046065,122831.30961386213
2020-11-09,132095.47189611147,125502.75289470176
2020-11-10,130718.94481574373,124759.15528044742
2020-11-11,128711.07077700185,123464.7446185973
2020-11-12,128981.2499151905,123382.12266145795
2020-11-13,128726.42906186641,121977.54939008866
2020-11-16,129617.91029655377,123437.20396621752
2020-11-17,128494.97331837523,123189.3380947994
2020-11-18,127834.5471303351,122996.55352814088
2020-11-19,128427.9536134585,124153.26092809204
2020-11-20,129090.72007449657,124566.37071378889
2020-11-23,129991.02465617529,126163.7285518167
2020-11-24,129442.99602121714,125282.42767566344
2020-11-25,127572.58826390668,123574.90722811647
2020-11-26,127467.69678773335,123767.69179477498
2020-11-27,128368.42452449391,125723.07811374006
2020-11-30,128235.67485792046,125034.56180424531
2020-12-01,130850.0015379992,128091.57421840196
2020-12-02,130712.61191019962,127788.62704222428
2020-12-03,131273.9200698215,127733.54573746471
2020-12-04,131581.14897421908,128036.49291364239
2020-12-07,130828.38074095364,126824.70420893165
2020-12-08,130941.81256023508,126384.05377085503
2020-12-09,129010.54225498512,124731.61462806763
2020-12-10,129506.90946271466,124456.20810426974
2020-12-11,128334.94995737684,122913.9315710015
2020-12-14,129281.22366786283,124125.72027571224
2020-12-15,129738.57454297587,124538.83006140911
2020-12-16,129462.34304557915,124814.23658520699
2020-12-17,130967.81241976493,126769.62290417207
2020-12-18,130355.31855189509,125970.94398515816
2020-12-21,132204.73857103204,127210.27334224869
2020-12-22,130261.64714947881,125089.64310900489
2020-12-23,130793.82525675946,126218.80985657628
2020-12-24,130025.80820450641,126218.80985657628
2020-12-25,131074.9975520389,127375.51725652744
2020-12-28,130761.77365403927,127761.08638984451
2020-12-29,130398.72133726774,127320.43595176787
2020-12-30,131804.86192340872,129083.0377040744
2020-12-31,134245.29145735968,132084.9688134715
2021-01-04,135952.72355909782,133379.3794753216
2021-01-05,136894.41812508393,136105.9040609208
2021-01-06,137269.5976530831,137455.39602753046
2021-01-07,138088.75668503312,140677.65235596587
2021-01-08,137734.14434693844,139906.51408933176
2021-01-11,136226.59922275174,138171.45298940502
2021-01-12,139287.06096101925,142577.95737017135
2021-01-13,137814.92734518702,141972.063017816
2021-01-14,136687.16135956408,139135.37582269765
2021-01-15,136554.33987958616,138667.18473224124
2021-01-18,138101.07731713617,140292.08322264883
2021-01-19,136760.6147348326,138226.5342941646
2021-01-20,138685.81214644262,139052.7538655583
2021-01-21,140877.67243226015,141641.5751892585
2021-01-22,142107.21550809804,141724.19714639787
2021-01-25,142070.74486429314,143541.880203464
2021-01-26,139138.19146685756,140237.00191788923
2021-01-27,139310.6375250345,140512.40844168715
2021-01-28,136723.89841886092,136766.87971803575
2021-01-29,135701.0680034542,135747.87557998352
2021-02-01,136668.79524721083,137482.93667991026
2021-02-02,137860.36216678948,139686.18887029344
2021-02-03,137090.7105245149,139520.9449560147
2021-02-04,135748.3416918115,139217.99777983702
2021-02-05,135425.53341856942,139438.32299887532
2021-02-09,139336.5837971373,145221.85999863117
2021-02-10,140812.2896421976,148389.03502230698
2021-02-18,140057.40053374873,147204.78696997603
2021-02-19,141089.29110045254,148086.0878461293
2021-02-22,138087.18810817867,142385.17280351283
2021-02-23,137325.19755251985,141972.063017816
2021-02-25,134841.2110781321,139328.16038935617
2021-02-26,132614.77878340223,135224.6031847675
2021-03-01,134330.62134674864,137675.72124656878
2021-03-02,133137.3889334462,135775.4162323633
2021-03-03,134871.13068662235,138667.18473224124
2021-03-04,131548.4249531356,134067.89578481636
2021-03-05,132000.8011015177,133489.54208484077
2021-03-08,128340.4737063709,128366.98074219986
2021-03-09,125714.1295691941,125585.3748518411
2021-03-10,125910.03044649797,126163.7285518167
2021-03-11,128346.91831888158,129716.47270880957
2021-03-12,128537.97213644467,130074.50118974684
2021-03-15,126058.670915068,127265.3546470083
2021-03-16,126692.69713837779,128174.19617554134
2021-03-17,127281.37710735512,128807.6311802765
2021-03-18,128118.64699119143,129909.25727546809
2021-03-19,126523.59790337317,126081.10659467733
2021-03-22,127719.40681040523,127650.92378032533
2021-03-23,127095.85460519708,126411.5944232348
2021-03-24,126175.31885943185,124318.50484237079
2021-03-25,126525.95006544044,124208.34223285162
2021-03-26,128542.75127875993,127072.57008034975
2021-03-29,128522.06153888894,127347.97660414764
2021-03-30,129133.40755938132,128559.7653088584
2021-03-31,128567.70806025914,127540.76117080619
2021-04-01,129963.13438338268,129248.28161835312
2021-04-02,130705.58314278431,130597.77358496284
2021-04-06,130339.70637694611,129826.63531832874
2021-04-07,129814.48473108932,128862.7124850361
2021-04-08,130431.66290407995,129165.65966121378
2021-04-09,129502.15489001466,127210.27334224869
2021-04-12,127077.37898437858,124896.85854234637
2021-04-13,127269.45890051921,124704.07397568783
2021-04-14,128504.76129576965,125475.21224232196
2021-04-15,128106.33204645822,124704.07397568783
2021-04-16,128670.47277601963,125144.72441376446
2021-04-19,131097.04214489847,128614.84661361798
2021-04-20,131018.83151087385,128394.52139457966
2021-04-21,131446.93277142613,128725.00922313715
2021-04-22,131765.88017286832,128614.84661361798
2021-04-23,133051.8516506382,130019.41988498726
2021-04-26,132036.81879917864,128256.81813268071
2021-04-27,132525.5568842128,128614.84661361798
2021-04-28,133527.77855249512,129661.39140405
2021-04-29,134039.75622603728,130928.2614135203
2021-04-30,133960.11025853068,129688.93205642977
2021-05-06,132464.09324549203,127843.70834698388
2021-05-07,130539.8941660085,126163.7285518167
2021-05-10,130674.8124913622,126136.1878994369
2021-05-11,131203.7551083935,126852.24486131144
2021-05-12,132503.25349106628,127706.00508508491
2021-05-13,131753.2159312857,126191.26920419648
2021-05-14,134866.47279753708,129661.39140405
2021-05-17,135744.2042470573,131341.37119921716
2021-05-18,135683.0849098543,131396.45250397673
2021-05-19,135529.02405098846,131010.88337065968
2021-05-20,136192.5534758565,131396.45250397673
2021-05-21,135519.4625440213,129881.71662308832
2021-05-24,136285.57068514475,130652.85488972241
2021-05-25,139034.63389605776,135169.52188000793
2021-05-26,138927.6920815303,135197.0625323877
2021-05-27,139876.88134518673,135720.33492760372
2021-05-28,139601.2617932564,135307.22514190688
2021-05-31,140790.96725447185,135472.4690561856
2021-06-01,141087.15646193986,135692.79427522392
2021-06-02,139343.23655039453,134508.546222893
2021-06-03,138754.45286705196,133379.3794753216
2021-06-04,139684.98677461618,134288.22100385468
2021-06-07,140070.82802519892,134122.97708957593
2021-06-08,139420.429965239,132966.26968962475
2021-06-09,139202.17809644883,133186.59490866307
2021-06-10,140641.0632358041,134122.97708957593
2021-06-11,139806.74278669336,132773.48512296623
2021-06-15,138475.82172289403,131148.5866325586
2021-06-16,136054.28544525482,129193.20031359355
2021-06-17,137175.2270033192,129496.14748977125
2021-06-18,138401.12137706013,129633.8507516702
2021-06-21,139341.91801668506,129441.06618501167
2021-06-22,139949.0872633268,130157.1231468862
2021-06-23,140604.98210161162,131010.88337065968
2021-06-24,139898.27207900776,131368.91185159693
2021-06-25,141985.86711950784,133599.7046943599
2021-06-28,142636.1245383441,133847.57056577803
2021-06-29,141780.66573967016,132360.3753372694
2021-06-30,142950.25349596926,133214.13556104284
2021-07-01,141866.0214641355,133159.05425628327
2021-07-02,138890.75387824883,129275.82227073293
2021-07-05,139602.1467264676,129468.60683739145
2021-07-06,138427.9625753911,129661.39140405
2021-07-07,140336.69662178148,131121.04598017884
2021-07-08,139853.33983937404,129909.25727546809
2021-07-09,139933.75565950348,129248.28161835312
2021-07-12,142453.43034770992,131121.04598017884
2021-07-13,142614.38932677035,131561.69641825548
2021-07-14,141849.51293057678,129991.87923260746
2021-07-15,142753.10865963716,131864.64359443318
2021-07-16,141476.44090655202,130460.07032306389
2021-07-19,141674.4670321409,131065.96467541928
2021-07-20,141753.59600121627,130707.93619448201
2021-07-21,143468.00944094607,131782.0216372938
2021-07-22,143571.25476286476,131919.72489919275
2021-07-23,142301.03181265865,130487.61097544369
2021-07-26,139031.83146360525,125667.99680898048
2021-07-27,135893.9785816738,120903.46394727685
2021-07-28,135898.40018713186,121178.87047107477
2021-07-29,138767.35280814522,123574.90722811647
2021-07-30,137983.06556197215,122638.52504720361
2021-08-02,140508.24511706602,125970.94398515816
2021-08-03,140457.15030345254,126026.02528991773
2021-08-04,141825.47355956514,127237.8139946285
2021-08-05,140862.23963529387,126411.5944232348
2021-08-06,140401.14167409218,125970.94398515816
2021-08-09,140983.8529586541,127485.67986604659
2021-08-10,142144.88419281776,129055.49705169462
2021-08-11,141557.65780117584,128311.89943744028
2021-08-12,140991.5416849322,127430.59856128701
2021-08-13,140569.98327064345,126687.00094703269
2021-08-16,140188.17985592852,126604.37898989335
2021-08-17,137479.73424214643,123519.8259233569
2021-08-18,139420.07976980755,124979.48049948574
2021-08-19,139153.99069264918,124043.09831857287
2021-08-20,137369.18940837577,121564.43960439181
2021-08-23,138957.8725676108,123547.36657573667
2021-08-24,140559.5900838304,124979.48049948574
2021-08-25,140798.54360451322,125365.04963280278
2021-08-26,138994.133245598,123024.09418052065
2021-08-27,139061.1510379074,123382.12266145795
2021-08-30,138697.2085319127,122886.3909186217
2021-08-31,138763.56217176534,122831.30961386213
2021-09-01,139203.61146681546,124759.15528044742
2021-09-02,139400.46479865213,124648.99267092826
2021-09-03,138698.97216230552,123905.39505667392
2021-09-06,141671.21945982202,126218.80985657628
2021-09-07,143192.44057390827,127953.87095650303
2021-09-08,142995.53765409565,127375.51725652744
2021-09-09,142935.92056422762,127320.43595176787
2021-09-10,143518.6784982485,128669.92791837755
2021-09-13,143272.31996341946,127926.33030412323
2021-09-14,142639.9362002429,126108.6472470571
2021-09-15,142204.34689519566,124648.99267092826
2021-09-16,140411.90430758471,123106.71613766003
2021-09-17,141891.81461214137,124180.80158047185
2021-09-22,141808.74048220174,123271.96005193877
2021-09-23,142249.01681856305,124070.63897095267
2021-09-24,141782.4288823427,124263.42353761119
2021-09-27,140610.22339161072,125144.72441376446
2021-09-28,140735.50283406652,124896.85854234637
2021-09-29,138940.4235633996,123988.0170138133
2021-09-30,140223.4441432193,124373.58614713037
2021-10-08,140579.14435117735,126328.97246609542
2021-10-11,139681.9196290741,126301.43181371565
2021-10-12,137780.48260637742,124869.31788996657
2021-10-13,139171.02762203032,126411.5944232348
2021-10-14,138821.55637983012,125667.99680898048
2021-10-15,139145.61614138394,126328.97246609542
2021-10-18,138785.56729885336,124731.61462806763
2021-10-19,139752.51164597936,126026.02528991773
2021-10-20,139364.71943976235,125640.4561566007
2021-10-21,139255.50729027597,126246.35050895605
2021-10-22,139197.6582200799,127155.19203748912
2021-10-25,140403.24552780687,127623.38312794556
2021-10-26,140009.06843645216,127155.19203748912
2021-10-27,138448.97622422792,125337.50898042301
2021-10-28,137423.54309184686,124759.15528044742
