ma_length,cagr,sharpe,max_dd,yr_2022,switches,on_ratio,cash_vs_bh_neg_corr,final_nav_100k
100,-0.07765198766586545,-0.3915162992830778,-0.484167306320742,-0.1257409838961291,30,0.45822994210090984,0.03294054396656845,67876.2761329069
150,-0.06145131897092215,-0.3191677033263783,-0.4708855129596281,-0.04332518675150632,35,0.4317617866004963,0.020819450326698394,73784.90717089611
200,0.016377008456615272,0.1809197391953889,-0.30249432178953906,0.000140000000000029,25,0.3978494623655914,0.05225318289677701,108098.18506851018
250,-0.050771304734326894,-0.2992939194380952,-0.31097501233852554,0.000140000000000029,21,0.337468982630273,0.03329416784267348,77897.54986735359
