lag_days,cagr,sharpe,max_dd,yr_2022,switches,on_ratio,cash_vs_bh_neg_corr,final_nav_100k
1,0.03712935868520528,0.30370462984027896,-0.27261274788233025,0.000140000000000029,31,0.39950372208436724,0.09944909886754072,119096.09704780547
2,0.016377008456615272,0.1809197391953889,-0.30249432178953906,0.000140000000000029,25,0.3978494623655914,0.05225318289677701,108098.18506851018
3,-0.0018092364643864656,0.06266544053662108,-0.3182958775389012,0.000140000000000029,19,0.3920595533498759,0.04378426696847218,99135.6865610259
5,-0.019841223020532706,-0.07356957583266971,-0.3803315024568673,0.000140000000000029,17,0.3970223325062035,0.02694376993684978,90840.21223506024
