timestamp,v2,v1,bh_510300
2020-01-02,99945.02648655667,99945.02648655667,100743.70640527079
2020-01-03,99966.02019054485,99966.02019054485,100468.29988147289
2020-01-06,99967.01989073477,99967.01989073477,100027.64944339625
2020-01-07,99968.01959092468,99968.01959092468,100908.95031954953
2020-01-08,99973.01809187424,99973.01809187424,99779.78357197816
2020-01-09,99978.0165928238,99978.0165928238,100991.5722766889
2020-01-10,99994.01179586242,99994.01179586242,100964.03162430911
2020-01-13,99965.02049035495,99965.02049035495,102203.36098139963
2020-01-14,99968.01959092468,99968.01959092468,101707.62923856343
2020-01-15,99973.01809187424,99973.01809187424,100826.32836241016
2020-01-16,99996.01119624224,99996.01119624224,100661.08444813141
2020-01-17,100023.00310136989,100023.00310136989,100798.78771003037
2020-01-20,99976.01719244398,99976.01719244398,101625.00728142406
2020-01-21,99996.01119624224,99996.01119624224,99531.91770056004
2020-01-22,100030.0010026993,100030.0010026993,99917.48683387709
2020-01-23,100115.97521903181,100115.97521903181,96529.98659116296
2020-02-03,99828.61255486835,99872.41569971404,87248.78673917383
2020-02-04,101195.71176625043,101209.02268425688,90305.79915333047
2020-02-05,102145.84065312457,102131.46358852349,91324.8032913827
2020-02-06,103370.89783574532,103317.56261571184,93803.46200556378
2020-02-07,103468.02299702994,103411.38981486481,93555.59613414566
2020-02-10,103751.06406116171,103684.51670564243,93913.62461508294
2020-02-11,103754.18583697206,103687.73004142105,95070.3320150341
2020-02-12,104899.15644199392,104819.72666039024,95841.47028166821
2020-02-13,104421.13353558519,104347.37640681711,95263.11658169264
2020-02-14,104678.82983696196,104602.14773657896,96006.71419594696
2020-02-17,106889.14384371063,106785.88695998825,98402.75095298866
2020-02-18,107250.79366583731,107143.21652204698,97714.23464349392
2020-02-19,106703.74509614657,106602.74298607267,97741.77529587371
2020-02-20,108455.71807232389,108358.98099073404,100247.97466243457
2020-02-21,109236.8803123136,109153.29370632528,100633.54379575163
2020-02-24,110107.95790350379,110028.98651323646,99724.70226721857
2020-02-25,110305.14750632845,110232.14699232172,99504.37704818025
2020-02-26,108404.5958680482,108315.75532983366,98567.9948672674
2020-02-27,108744.08170729576,108652.45498712058,98595.5355196472
2020-02-28,105479.39774146721,105354.90555301444,94794.92549123621
2020-03-02,108375.44417779168,108159.28219309467,98733.23878154614
2020-03-03,109260.98484215424,109006.75676126004,98650.61682440677
2020-03-04,109575.46422467941,109305.7972824452,99449.29574342068
2020-03-05,111042.90608289104,110708.41320434108,102148.27967664006
2020-03-06,110242.51550777402,109945.44514308547,99972.56813863666
2020-03-09,107488.04067409509,107313.10811517692,96364.74267688423
2020-03-10,109055.44464710196,108808.76976914193,98788.32008630571
2020-03-11,107631.12625246067,107447.49258177797,96943.0963768598
2020-03-12,106120.71186339273,106002.9400778501,95208.03527693305
2020-03-13,105360.89549799617,105275.46351111657,93583.13678652546
2020-03-16,101648.66502539226,101728.16805382658,89094.01044861974
2020-03-17,101519.0227155393,101602.78475714903,88185.16892008667
2020-03-18,100359.28149724378,100495.31043378636,86477.64847253972
2020-03-19,100430.19180798036,100560.43718926853,85513.72563924707
2020-03-20,101460.12176716533,101547.23493879742,86835.67695347698
2020-03-23,98751.93088569702,98959.58386733838,83585.8799726618
2020-03-24,100264.66002266611,100406.50572930598,85926.83542494391
2020-03-25,102127.11338614307,102187.93940463196,88543.19740102394
2020-03-26,101979.74126290691,102050.45512360614,87909.76239628879
2020-03-27,101624.48174598003,101710.333559575,88377.9534867452
2020-03-30,100284.71651672584,100428.64797998764,87441.57130583235
2020-03-31,100289.81552481282,100434.2976687164,87524.19326297172
2020-04-01,100060.87526681407,100220.53865816229,87634.35587249088
2020-04-02,101818.63525048175,101847.13767432907,89011.38849148038
2020-04-03,101290.66596532975,101360.93982764504,88295.33152960583
2020-04-07,103516.9234658764,103435.34811092254,90581.20567712838
2020-04-08,103351.84783339164,103276.7613724448,90168.09589143154
2020-04-09,104532.55138895453,104407.92882081412,90471.04306760922
2020-04-10,103326.08070100597,103275.33317926161,90140.55523905174
2020-04-13,102653.33065238598,102657.604891778,89562.20153907615
2020-04-14,104281.83471976094,104176.11082562267,91269.72198662312
2020-04-15,103874.25437374892,103798.85570453909,90663.82763426774
2020-04-16,104700.05958082153,104580.32147015604,90718.90893902733
2020-04-17,104806.66674611568,104665.33243709439,91655.29111994017
2020-04-20,105851.13733003943,105679.70935147455,92095.94155801681
2020-04-21,105044.31907359778,104921.02991702346,90994.31546282522
2020-04-22,105677.2514631607,105519.53193280894,91930.69764373808
2020-04-23,105329.84887936235,105202.15907405868,91737.91307707955
2020-04-24,104141.54035057644,104061.43779933982,90856.61220092628
2020-04-27,104228.73086103014,104161.76779310993,91324.8032913827
2020-04-28,104370.78354065561,104306.87449020034,91985.77894849765
2020-04-29,104320.315229667,104236.81122156339,92536.59199609344
2020-04-30,105600.67828857752,105403.56138634177,94106.40918174146
2020-05-06,106716.75585238692,106475.29151864533,94381.81570553937
2020-05-07,106583.99877121975,106362.77764009115,94189.03113888083
2020-05-08,107643.79781756924,107402.77331366355,95345.73853883201
2020-05-11,107131.50021003744,106915.29025834473,95152.95397217348
2020-05-12,107563.53025010803,107344.86672819074,95125.41331979369
2020-05-13,108425.87427129851,108205.64766454592,95373.2791912118
2020-05-14,107568.18393523307,107374.5881028829,94464.43766267873
2020-05-15,107539.8210378662,107333.14517271647,93941.16526746273
2020-05-18,107636.44382601508,107449.36394008862,94271.6530960202
2020-05-19,108397.28324656657,108180.67542463307,95070.3320150341
2020-05-20,107651.57294835123,107440.68820514268,94629.68157695746
2020-05-21,106957.47605568,106789.26975432239,93913.62461508294
2020-05-22,105143.51850839959,105009.33127443114,91545.12851042101
2020-05-25,105184.1705085548,105065.05960277832,91600.2098151806
2020-05-26,106873.57385379638,106723.36043787334,92867.07982465092
2020-05-27,105865.36616594385,105723.06007637804,92371.3480818147
2020-05-28,105773.40533847765,105621.81974791407,92509.05134371365
2020-05-29,106533.31703489352,106386.47576146136,92949.7017817903
2020-06-01,109180.11757118117,109057.03537805812,95758.84832452884
2020-06-02,108881.16460954053,108750.30078743274,96061.79550070653
2020-06-03,108672.31400318588,108541.4577872691,96034.25484832675
2020-06-04,108905.69600073343,108779.14678847906,96089.33615308632
2020-06-05,109321.64792866237,109203.42127183387,96722.77115782148
2020-06-08,109035.96025454291,108914.59042550554,97246.0435530375
2020-06-09,109745.61418493243,109640.97756512913,97989.6411672918
2020-06-10,110005.70324829729,109917.00931713716,97741.77529587371
2020-06-11,109672.15712116225,109570.54576686259,96722.77115782148
2020-06-12,110187.5420578167,110108.78293909105,96998.17768161937
2020-06-15,110158.80089124764,110076.26586430159,95428.36049597137
2020-06-16,111668.26396564471,111668.63948420614,97135.88094351834
2020-06-17,112000.45006656811,112027.49933856569,97246.0435530375
2020-06-18,111939.62585119809,111940.16621068734,98099.80377681096
2020-06-19,113448.19339318716,113514.66605826681,99531.91770056004
2020-06-22,114204.80230143853,114293.31976784032,99642.0803100792
2020-06-23,115109.55422039969,115250.21526022385,100165.3527052952
2020-06-24,115154.3130051685,115291.03772878398,101156.81619096763
2020-06-29,114700.77210298639,114850.65224993645,100165.3527052952
2020-06-30,116447.07247662262,116676.58820620933,101542.38532428468
2020-07-01,116822.95177860765,117064.81083682216,104131.20664798493
2020-07-02,118608.94455700705,118921.55556556732,106830.19058120431
2020-07-03,121381.61414558705,121868.56551799578,109226.22733824603
2020-07-06,126053.96125826411,126774.05297356189,118232.02066643725
2020-07-07,125999.1870399286,126770.33260970392,116910.06935220736
2020-07-08,128331.8900380941,129260.40966026486,118617.58979975432
2020-07-09,130909.4901460783,132083.4969871902,120655.59807585875
2020-07-10,130476.75361888368,131628.64886133067,118259.56131881704
2020-07-13,133692.62113285373,135096.26108230444,121013.62655679602
2020-07-14,132552.31466573657,133849.2198052359,119829.37850446506
2020-07-15,130744.34072695099,131891.03115818338,118232.02066643725
2020-07-16,125553.00621808096,126276.18850710471,111952.75192384521
2020-07-17,125783.03940062708,126531.35900553354,113302.24389045489
2020-07-20,128219.32216661547,129169.37106493748,116662.20348078923
2020-07-21,128854.11139333449,129862.13367405858,116992.69130934673
2020-07-22,129893.44503123588,130986.57768995123,118452.34588547557
2020-07-23,130316.84977454947,131446.24898334005,117736.28892360105
2020-07-24,125031.2929990821,125727.6586080613,111897.6706190856
2020-07-27,125186.5937389441,125898.85338695705,112668.80888571974
2020-07-28,126041.62522818735,126823.94229764478,113632.73171901239
2020-07-29,129091.22368541396,130118.87207829428,117268.09783314461
2020-07-30,128507.63243488754,129489.74239055382,116304.17499985197
2020-07-31,129870.05732596858,130959.87228428078,117295.63848552441
2020-08-03,132169.10326141948,133443.72501329338,119361.18741400863
2020-08-04,131590.13960479663,132829.70330306553,119471.35002352779
2020-08-05,132112.51319907294,133384.8093653617,119526.43132828736
2020-08-06,132176.33634952994,133461.74230655178,119030.69958545116
2020-08-07,130217.75946616947,131365.2562091248,117708.74827122125
2020-08-10,130615.763428219,131783.0807513154,118149.3987092979
2020-08-11,128646.11780002053,129679.27018489467,116854.98804744778
2020-08-12,127178.41739866087,128122.91860819007,115973.68717129451
