signal,CAGR,Sharpe,MaxDD,vs_S3_IR,vs_S3_alpha_ann,vs_S3_t
raw,0.05747673801931952,0.44448980739982374,-0.22170575064008813,-0.17004596028810906,-0.010573674656399672,-0.372151422782076
vol_adj,0.07112293888984578,0.5717211237176602,-0.1853290375284119,0.0011215604741643727,7.082503099123497e-05,0.0024545736075660147
