lookback,CAGR,Sharpe,MaxDD,vs_S3_alpha_ann,vs_S3_IR,vs_S3_t,mean_|Δw|
20,0.05640360060937999,0.4231493668916804,-0.23355545665074862,-0.010298479504980987,-0.17525898844441612,-0.3835603138964882,0.05022714069619217
60,0.047555371676702984,0.37479320602353206,-0.27515499042657365,-0.0191992220600109,-0.289920354281418,-0.6345006500390122,0.04940707579870676
120,0.05747673801931952,0.44448980739982374,-0.22170575064008813,-0.010573674656399672,-0.17004596028810906,-0.372151422782076,0.046518372381540225
250,0.0747783433650282,0.5633829707661068,-0.23090127862713683,0.0050255259039834405,0.07704662268468196,0.16861917921529834,0.04308060855358563
