label,final_nav_100k,cagr,vol_ann,sharpe,max_dd,yearly,yr_2022,yr_2024
v2 lag=1 11池,119009.88067322152,0.03700388141448041,0.10357158767399025,0.4026757206725753,-0.17539601156744078,"{2020: 0.17852903973046375, 2021: -0.010252577237515492, 2022: 0.00013999999999980695, 2023: -0.06089923987371659, 2024: 0.07819712128661993}",0.00013999999999980695,0.07819712128661993
v1 lag=1 6池,119096.09704780547,0.0370980851474334,0.16362038300597914,0.3037046298402742,-0.27261274788233014,"{2020: 0.2742906208722189, 2021: -0.046140392736372826, 2022: 0.00013999999999980695, 2023: -0.10045051065129817, 2024: 0.07267931292718921}",0.00013999999999980695,0.07267931292718921
lag=2 11池,112891.80046927244,0.025640039160970796,0.10164029836456293,0.2999181035309556,-0.19872547814209496,"{2020: 0.20144980005950974, 2021: -0.004897834332721063, 2022: 0.00014000000000025103, 2023: -0.07490282887698174, 2024: 0.012963399861603886}",0.00014000000000025103,0.012963399861603886
v1 lag=2 6池 (默认),108098.18506851018,0.016363352315500013,0.15921674205295608,0.18091973919539003,-0.30249432178953906,"{2020: 0.307558248480462, 2021: -0.03618728739350874, 2022: 0.000140000000000029, 2023: -0.12368010329681467, 2024: -0.03605464026387162}",0.000140000000000029,-0.03605464026387162
