universe,n_symbols,final_nav_100k,cagr_pct,sharpe,max_dd_pct,vol_ann_pct,calmar
crypto_top_5,5,436449.79497157753,44.50207074396096,1.0189887500158834,-42.96405476700546,47.34513882700476,1.0357977380230097
crypto_top_10,10,327790.6369093627,34.527449771677034,0.8344858573368121,-57.113740066705866,52.46646539418837,0.6045384128469047
