cagr_target,final_nav,final_target,cagr,ann_vol,sharpe,max_drawdown,calmar,alpha_annual,info_ratio,tracking_error,turnover_annual,n_buy_months,n_sell_months,n_skip_months,n_noop_months,buy_sell_ratio,cash_exhausted_date,final_cash_weight,final_risk_weight
0.06,82867.55161586136,134213.9455272943,-0.038334424313397064,0.18630946105489968,-0.2057567237667071,-0.4286263067816677,-0.08943553791933664,-0.054221155236395285,-0.3696030404886438,0.14670105301274233,0.4429781006111909,25,0,1,33,0.0,2022-03-01,0.0,1.0
0.08,82940.0419495857,147997.91804320578,-0.03815899466523731,0.19032958826522844,-0.2004890307021624,-0.4435821648117998,-0.08602463690447781,-0.053278992138716154,-0.3743142151738534,0.1423376136382378,0.44071519166096956,24,0,0,35,0.0,2022-01-04,0.0,1.0
0.1,84598.06418368987,163171.13402762832,-0.03417925423995638,0.19403236216776276,-0.176152337981664,-0.44402330117124755,-0.07697626261909707,-0.04843852313406777,-0.348694050879048,0.13891410826182896,0.4339032242462629,21,0,0,38,0.0,2021-10-08,0.0,1.0
0.12,86182.97151820552,179870.9602538704,-0.03043230415681819,0.19752031051499938,-0.154071771543247,-0.44578339751754326,-0.06826702009605587,-0.04388314106644917,-0.3223416701169775,0.1361385918566595,0.427455048585621,19,0,0,40,0.0,2021-08-02,0.0,1.0
