timestamp,va,target,bh_510300,s1,s2
2020-01-02,99945.02648655667,100000.0,100743.70640527079,99997.00151174412,99945.02648655667
2020-01-03,99966.02019054485,100000.0,100468.29988147289,100012.27924454314,99966.02019054485
2020-01-06,99967.01989073477,100000.0,100027.64944339625,100033.06238217381,99967.01989073477
2020-01-07,99968.01959092468,100000.0,100908.95031954953,100105.4187400872,99968.01959092468
2020-01-08,99973.01809187424,100000.0,99779.78357197816,100031.88648204142,99973.01809187424
2020-01-09,99978.0165928238,100000.0,100991.5722766889,100135.33813763906,99978.0165928238
2020-01-10,99994.01179586242,100000.0,100964.03162430911,100143.46746631524,99994.01179586242
2020-01-13,99965.02049035495,100000.0,102203.36098139963,100186.76393387337,99965.02049035495
2020-01-14,99968.01959092468,100000.0,101707.62923856343,100154.86107954141,99968.01959092468
2020-01-15,99973.01809187424,100000.0,100826.32836241016,100146.83650131302,99973.01809187424
2020-01-16,99996.01119624224,100000.0,100661.08444813141,100183.96173450025,99996.01119624224
2020-01-17,100023.00310136989,100000.0,100798.78771003037,100211.65064829394,100023.00310136989
2020-01-20,99976.01719244398,100000.0,101625.00728142406,100246.00916411042,99976.01719244398
2020-01-21,99996.01119624224,100000.0,99531.91770056004,100216.92447872076,99996.01119624224
2020-01-22,100030.0010026993,100000.0,99917.48683387709,100275.31480016072,100030.0010026993
2020-01-23,100115.97521903181,100666.66666666666,96529.98659116296,100179.89402790225,100115.97521903181
2020-02-03,99950.37318250698,100666.66666666666,87248.78673917383,99617.24695673108,99872.41569971404
2020-02-04,99981.86210780514,100666.66666666666,90305.79915333047,99932.79851415327,101209.02268425688
2020-02-05,100057.25915904497,100666.66666666666,91324.8032913827,100216.43207617904,102131.46358852349
2020-02-06,100043.74413847952,100666.66666666666,93803.46200556378,100497.96884445586,103317.56261571184
2020-02-07,100046.20712547158,100666.66666666666,93555.59613414566,100521.84473446012,103411.38981486481
2020-02-10,100024.65096436678,100666.66666666666,93913.62461508294,100571.14831697941,103684.51670564243
2020-02-11,100024.61881390498,100666.66666666666,95070.3320150341,100571.54304778924,103687.73004142105
2020-02-12,100032.41797110211,100666.66666666666,95841.47028166821,100776.42984908441,104819.72666039024
2020-02-13,100025.48155981049,100666.66666666666,95263.11658169264,100688.89323201356,104347.37640681711
2020-02-14,100036.04252784023,100666.66666666666,96006.71419594696,100739.36515073836,104602.14773657896
2020-02-17,100032.15670137413,100666.66666666666,98402.75095298866,101120.38465143005,106785.88695998825
2020-02-18,100045.88127002984,100666.66666666666,97714.23464349392,101196.97330005966,107143.21652204698
2020-02-19,100045.18736410888,100666.66666666666,97741.77529587371,101096.78291722824,106602.74298607267
2020-02-20,100059.79887420274,100666.66666666666,100247.97466243457,101399.9395234726,108358.98099073404
2020-02-21,100070.6778833701,100666.66666666666,100633.54379575163,101544.24653957381,109153.29370632528
2020-02-24,100076.12205050584,100666.66666666666,99724.70226721857,101699.54888074621,110028.98651323646
2020-02-25,100073.4182390976,100666.66666666666,99504.37704818025,101732.55373198338,110232.14699232172
2020-02-26,100063.35973440399,100666.66666666666,98567.9948672674,101399.5240518249,108315.75532983366
2020-02-27,100070.35501781263,100666.66666666666,98595.5355196472,101461.9051014948,108652.45498712058
2020-02-28,100046.35625804306,101337.77777777777,94794.92549123621,100892.26701955398,105354.90555301444
2020-03-02,100100.18096266841,101337.77777777777,98733.23878154614,101338.65316121295,108159.28219309467
2020-03-03,100128.5113540998,101337.77777777777,98650.61682440677,101542.31864507527,109006.75676126004
2020-03-04,100145.42127590915,101337.77777777777,99449.29574342068,101617.11860846111,109305.7972824452
2020-03-05,100184.9146087728,101337.77777777777,102148.27967664006,101941.0035313309,110708.41320434108
2020-03-06,100173.43856125778,101337.77777777777,99972.56813863666,101774.46406824086,109945.44514308547
2020-03-09,100079.76164718356,101337.77777777777,96364.74267688423,101145.09101150188,107313.10811517692
2020-03-10,100122.63658232923,101337.77777777777,98788.32008630571,101494.15824461794,108808.76976914193
2020-03-11,100087.33265401253,101337.77777777777,96943.0963768598,101180.79075517638,107447.49258177797
2020-03-12,100047.99408822622,101337.77777777777,95208.03527693305,100843.98738623284,106002.9400778501
2020-03-13,100023.03515992571,101337.77777777777,93583.13678652546,100673.35421877229,105275.46351111657
2020-03-16,99924.25627418078,101337.77777777777,89094.01044861974,99848.276940257,101728.16805382658
2020-03-17,99921.19214527018,101337.77777777777,88185.16892008667,99822.36131371713,101602.78475714903
2020-03-18,99896.66639543223,101337.77777777777,86477.64847253972,99571.68833690346,100495.31043378636
2020-03-19,99906.18174187379,101337.77777777777,85513.72563924707,99596.03133868556,100560.43718926853
2020-03-20,99949.8708938072,101337.77777777777,86835.67695347698,99837.04594766672,101547.23493879742
2020-03-23,99859.28798326457,101337.77777777777,83585.8799726618,99220.00812578094,98959.58386733838
2020-03-24,99897.6634842965,101337.77777777777,85926.83542494391,99553.51675457052,100406.50572930598
2020-03-25,99936.28407587318,101337.77777777777,88543.19740102394,99957.18304536014,102187.93940463196
2020-03-26,99932.25458609164,101337.77777777777,87909.76239628879,99924.75126514284,102050.45512360614
2020-03-27,99927.90524000023,101337.77777777777,88377.9534867452,99846.99915727887,101710.333559575
2020-03-30,99874.69472648493,101337.77777777777,87441.57130583235,99533.8758590089,100428.64797998764
2020-03-31,99885.43890372771,102013.36296296294,87524.19326297172,99543.73332975933,100434.2976687164
2020-04-01,99875.85290890816,102013.36296296294,87634.35587249088,99494.41832044271,100220.53865816229
2020-04-02,99963.83860869348,102013.36296296294,89011.38849148038,99962.071821901,101847.13767432907
2020-04-03,99951.2391930225,102013.36296296294,88295.33152960583,99833.55886601865,101360.93982764504
2020-04-07,100056.4084325005,102013.36296296294,90581.20567712838,100424.14545578232,103435.34811092254
2020-04-08,100047.52400973473,102013.36296296294,90168.09589143154,100378.99194462568,103276.7613724448
2020-04-09,100111.8382975956,102013.36296296294,90471.04306760922,100705.90323551584,104407.92882081412
2020-04-10,100055.05802606362,102013.36296296294,90140.55523905174,100381.478924659,103275.33317926161
2020-04-13,100012.60528667369,102013.36296296294,89562.20153907615,100194.50582122034,102657.604891778
2020-04-14,100105.45421199389,102013.36296296294,91269.72198662312,100640.11619454194,104176.11082562267
2020-04-15,100074.72112309518,102013.36296296294,90663.82763426774,100523.36143479763,103798.85570453909
2020-04-16,100118.56628122009,102013.36296296294,90718.90893902733,100751.52353985002,104580.32147015604
2020-04-17,100120.22933014181,102013.36296296294,91655.29111994017,100773.73793784397,104665.33243709439
2020-04-20,100174.7578287735,102013.36296296294,92095.94155801681,101065.21947171199,105679.70935147455
2020-04-21,100136.48093854506,102013.36296296294,90994.31546282522,100849.82749949142,104921.02991702346
2020-04-22,100170.76016138369,102013.36296296294,91930.69764373808,101022.42711305158,105519.53193280894
2020-04-23,100150.832302873,102013.36296296294,91737.91307707955,100927.47076065185,105202.15907405868
2020-04-24,100094.53145998692,102013.36296296294,90856.61220092628,100605.71116720166,104061.43779933982
2020-04-27,100089.04340305337,102013.36296296294,91324.8032913827,100624.90115014584,104161.76779310993
2020-04-28,100098.96690918121,102013.36296296294,91985.77894849765,100667.15433753032,104306.87449020034
2020-04-29,100086.32830804486,102013.36296296294,92536.59199609344,100640.26669735719,104236.81122156339
2020-04-30,100161.10740716745,102693.4520493827,94106.40918174146,100986.12660548682,105403.56138634177
2020-05-06,100264.34625052354,102693.4520493827,94381.81570553937,101256.93154536831,106475.29151864533
2020-05-07,100259.12258832471,102693.4520493827,94189.03113888083,101221.75026638687,106362.77764009115
2020-05-08,100351.0475350864,102693.4520493827,95345.73853883201,101569.05715316228,107402.77331366355
2020-05-11,100306.19841346839,102693.4520493827,95152.95397217348,101396.78493005711,106915.29025834473
2020-05-12,100347.34191321106,102693.4520493827,95125.41331979369,101549.81039314234,107344.86672819074
2020-05-13,100424.85050934402,102693.4520493827,95373.2791912118,101849.53363069802,108205.64766454592
2020-05-14,100352.49401744863,102693.4520493827,94464.43766267873,101566.43818500018,107374.5881028829
2020-05-15,100357.87737251143,102693.4520493827,93941.16526746273,101559.6493133638,107333.14517271647
2020-05-18,100356.17380752336,102693.4520493827,94271.6530960202,101593.15176934097,107449.36394008862
2020-05-19,100420.73469062544,102693.4520493827,95070.3320150341,101840.96756785392,108180.67542463307
2020-05-20,100358.4785515771,102693.4520493827,94629.68157695746,101589.44325760822,107440.68820514268
2020-05-21,100301.42077379541,102693.4520493827,93913.62461508294,101370.34995181748,106789.26975432239
2020-05-22,100150.48578350624,102693.4520493827,91545.12851042101,100769.90327434998,105009.33127443114
2020-05-25,100148.74568165457,102693.4520493827,91600.2098151806,100786.81064549646,105065.05960277832
2020-05-26,100288.47233978254,102693.4520493827,92867.07982465092,101350.83415398462,106723.36043787334
2020-05-27,100201.13367986957,102693.4520493827,92371.3480818147,101005.68322084675,105723.06007637804
2020-05-28,100187.10879625971,102693.4520493827,92509.05134371365,100964.72892281358,105621.81974791407
2020-05-29,100262.97000321434,103378.07506304524,92949.7017817903,101234.54919427761,106386.47576146136
2020-06-01,100545.56842892029,103378.07506304524,95758.84832452884,102089.00450961867,109057.03537805812
2020-06-02,100508.9877574706,103378.07506304524,96061.79550070653,101965.47118075387,108750.30078743274
2020-06-03,100483.85842415165,103378.07506304524,96034.25484832675,101886.02043783244,108541.4577872691
2020-06-04,100514.02972728026,103378.07506304524,96089.33615308632,101982.03484353315,108779.14678847906
2020-06-05,100578.41050902545,103378.07506304524,96722.77115782148,102153.65720556899,109203.42127183387
2020-06-08,100539.91398715123,103378.07506304524,97246.0435530375,102032.79781443039,108914.59042550554
2020-06-09,100625.60688196943,103378.07506304524,97989.6411672918,102311.14584558333,109640.97756512913
2020-06-10,100658.71318595066,103378.07506304524,97741.77529587371,102428.16869066111,109917.00931713716
2020-06-11,100618.6075235151,103378.07506304524,96722.77115782148,102300.05407665149,109570.54576686259
2020-06-12,100685.03689568026,103378.07506304524,96998.17768161937,102519.51502437107,110108.78293909105
2020-06-15,100691.2622037626,103378.07506304524,95428.36049597137,102528.27680170495,110076.26586430159
2020-06-16,100877.084080338,103378.07506304524,97135.88094351834,103137.53360458724,111668.63948420614
2020-06-17,100922.49206273395,103378.07506304524,97246.0435530375,103279.84052170653,112027.49933856569
2020-06-18,100909.80836996343,103378.07506304524,98099.80377681096,103227.8266312099,111940.16621068734
2020-06-19,101098.54077701361,103378.07506304524,99531.91770056004,103837.5551662776,113514.66605826681
2020-06-22,101188.62283991785,103378.07506304524,99642.0803100792,104139.31806345726,114293.31976784032
2020-06-23,101304.82564222536,103378.07506304524,100165.3527052952,104518.41519869113,115250.21526022385
2020-06-24,101328.71468944529,103378.07506304524,101156.81619096763,104541.08126476314,115291.03772878398
2020-06-29,101251.89655658243,103378.07506304524,100165.3527052952,104372.40281296968,114850.65224993645
2020-06-30,101479.11053981795,104067.26223013218,101542.38532428468,105088.40851589973,116676.58820620933
2020-07-01,101525.27860122811,104067.26223013218,104131.20664798493,105194.21542337025,117064.81083682216
2020-07-02,101793.99639992214,104067.26223013218,106830.19058120431,105953.56651169612,118921.55556556732
2020-07-03,102248.06038143758,104067.26223013218,109226.22733824603,107224.943525776,121868.56551799578
2020-07-06,102965.53936325417,104067.26223013218,118232.02066643725,109332.5814944109,126774.05297356189
2020-07-07,102973.73439786909,104067.26223013218,116910.06935220736,109335.67759455554,126770.33260970392
2020-07-08,103385.2793816347,104067.26223013218,118617.58979975432,110452.92587940564,129260.40966026486
2020-07-09,103800.2384761754,104067.26223013218,120655.59807585875,111693.56420491796,132083.4969871902
2020-07-10,103753.88605722522,104067.26223013218,118259.56131881704,111527.31290602706,131628.64886133067
2020-07-13,104266.19304591809,104067.26223013218,121013.62655679602,113068.22144114271,135096.26108230444
2020-07-14,104122.71466166667,104067.26223013218,119829.37850446506,112535.12015178287,133849.2198052359
2020-07-15,103804.36454173064,104067.26223013218,118232.02066643725,111669.16365540965,131891.03115818338
2020-07-16,102941.6262897736,104067.26223013218,111952.75192384521,109146.92577391546,126276.18850710471
2020-07-17,102952.4541429307,104067.26223013218,113302.24389045489,109248.49194402774,126531.35900553354
2020-07-20,103358.18707376339,104067.26223013218,116662.20348078923,110406.96831778352,129169.37106493748
2020-07-21,103464.55086259264,104067.26223013218,116992.69130934673,110732.6900344241,129862.13367405858
2020-07-22,103630.82020333428,104067.26223013218,118452.34588547557,111232.8667592611,130986.57768995123
2020-07-23,103705.20772837123,104067.26223013218,117736.28892360105,111461.5180224914,131446.24898334005
2020-07-24,102832.92428612654,104067.26223013218,111897.6706190856,108888.71209048259,125727.6586080613
2020-07-27,102847.8090497084,104067.26223013218,112668.80888571974,108958.36511812065,125898.85338695705
2020-07-28,102987.1936269393,104067.26223013218,113632.73171901239,109372.84575126797,126823.94229764478
2020-07-29,103476.94559493798,104067.26223013218,117268.09783314461,110839.08224775457,130118.87207829428
2020-07-30,103392.3382856756,104067.26223013218,116304.17499985197,110563.18080606993,129489.74239055382
2020-07-31,103625.42301751573,104761.04397833305,117295.63848552441,111230.4373110164,130959.87228428078
2020-08-03,103997.85328598066,104761.04397833305,119361.18741400863,112295.9538571508,133443.72501329338
2020-08-04,103898.46119360568,104761.04397833305,119471.35002352779,111987.09278567933,132829.70330306553
2020-08-05,103991.71321673147,104761.04397833305,119526.43132828736,112264.71637007724,133384.8093653617
2020-08-06,104006.13158092638,104761.04397833305,119030.69958545116,112280.44721045154,133461.74230655178
2020-08-07,103665.7130767596,104761.04397833305,117708.74827122125,111248.38055328086,131365.2562091248
2020-08-10,103731.2895852322,104761.04397833305,118149.3987092979,111450.75156585855,131783.0807513154
2020-08-11,103394.34510453658,104761.04397833305,116854.98804744778,110423.91480447582,129679.27018489467
2020-08-12,103133.85820120726,104761.04397833305,115973.68717129451,109639.82647737581,128122.91860819007
2020-08-13,103144.07935275817,104761.04397833305,115560.57738559764,109640.67215423715,128131.40754804139
2020-08-14,103392.42619430693,104761.04397833305,118066.77675215852,110422.20603977161,129767.28263051281
2020-08-17,103745.44577351306,104761.04397833305,120793.3013377577,111489.72881014502,131992.54067229465
2020-08-18,103786.5367578607,104761.04397833305,120600.51677109915,111609.21691231165,132225.7578102664
2020-08-19,103413.57400176486,104761.04397833305,118507.42719023515,110468.19206249336,129908.26619482301
2020-08-20,103224.90640958905,104761.04397833305,117102.85391886588,109897.26055442225,128717.43406424855
2020-08-21,103437.92827764111,104761.04397833305,118232.02066643725,110518.9856010469,129973.30764178748
2020-08-24,103567.28505076109,104761.04397833305,119058.24023783096,110944.86241186137,130837.06911573591
2020-08-25,103589.94277680016,104761.04397833305,119306.10610924906,111016.86297767167,130958.42553135612
2020-08-26,103297.67745302149,104761.04397833305,117681.20761884145,110136.8782783959,129113.00190877581
2020-08-27,103500.88123613404,104761.04397833305,118672.6711045139,110753.043488909,130348.97505862678
2020-08-28,103878.02925808103,104761.04397833305,121894.92743294929,111896.61926691525,132691.28552576178
2020-08-31,103767.21463122411,105459.4509381886,120710.67938061833,111577.0599471578,132045.72845480044
2020-09-01,103907.11343639242,105459.4509381886,121647.06156153117,111940.52640212297,132822.6651478872
2020-09-02,103919.83604332597,105459.4509381886,121536.89895201202,111975.1817755134,132895.97353395986
2020-09-03,103783.52790772538,105459.4509381886,120986.08590441622,111575.47540629975,132141.55896330703
2020-09-04,103602.30885987321,105459.4509381886,119471.35002352779,111012.8821517503,131112.58877190744
2020-09-07,103082.89021699842,105459.4509381886,116799.90674268818,109458.31800586055,128244.30035732829
2020-09-08,103228.10067025946,105459.4509381886,117460.88239980313,109879.13622816734,129047.70633342821
2020-09-09,102634.49026663219,105459.4509381886,114403.86998564648,108100.95839120907,125814.00530550201
2020-09-10,102358.42741914808,105459.4509381886,114514.03259516566,107265.60316166532,124281.37779940665
2020-09-11,102556.30265174132,105459.4509381886,115505.49608083807,107861.98394919714,125347.94138404437
2020-09-14,102687.90092854144,105459.4509381886,116249.0936950924,108263.02369819849,126076.99722451413
2020-09-15,102814.16455884719,105459.4509381886,117213.01652838504,108648.9127284956,126776.67878824071
2020-09-16,102642.20143397312,105459.4509381886,116441.87826175091,108131.07336417405,125851.97664761369
2020-09-17,102582.47530359116,105459.4509381886,115643.19934273702,107952.43950070569,125520.27614057442
2020-09-18,103021.08261607874,105459.4509381886,118975.61828069159,109260.91480644651,127978.7899444286
2020-09-21,102866.54145760268,105459.4509381886,117460.88239980313,108789.52290493177,127111.16726946954
2020-09-22,102762.65492382628,105459.4509381886,115891.06521415514,108469.7157286393,126510.78773511376
2020-09-23,102904.21334333147,105459.4509381886,116276.6343474722,108914.25737477868,127283.34340890958
2020-09-24,102555.0762174057,105459.4509381886,114156.00411422836,107870.03663290324,125378.90725947455
2020-09-25,102600.06563249393,105459.4509381886,114238.62607136773,108005.81899229051,125640.90767026508
2020-09-28,102473.25387659266,105459.4509381886,114514.03259516566,107617.5988407459,124947.38949585921
2020-09-29,102658.02841586778,105459.4509381886,114816.97977134332,108175.0471637644,125940.52517233562
2020-09-30,102668.61427334836,106162.5139444432,114431.41063802628,108149.64246873865,125847.78184129883
2020-10-09,103129.59372074105,106162.5139444432,116992.69130934673,109518.21102561991,128396.49911157586
2020-10-12,103924.84581883672,106162.5139444432,121068.7078615556,111727.41511704694,132245.87903687274
2020-10-13,103964.40613484527,106162.5139444432,121509.35829963224,111841.6780465831,132413.54519443648
2020-10-14,103815.48830689747,106162.5139444432,120848.38264251727,111423.32544665091,131682.3136237127
2020-10-15,103663.99402005765,106162.5139444432,120517.8948139598,111005.05989318837,130979.83429610946
2020-10-16,103647.54244810261,106162.5139444432,120132.32568064275,110942.25293583967,130849.25888541354
2020-10-19,103356.88304068151,106162.5139444432,119278.56545686927,110134.79946611356,129503.90462494669
2020-10-20,103570.50996275246,106162.5139444432,120104.78502826295,110740.16539794311,130534.14240157235
2020-10-21,103416.42872182636,106162.5139444432,120270.0289425417,110315.34116341092,129800.19493950802
2020-10-22,103307.66486645055,106162.5139444432,119829.37850446506,110014.90240536007,129294.30455311081
2020-10-23,102869.83851542047,106162.5139444432,118287.10197119684,108812.99632027584,127262.26687705773
2020-10-26,102779.27930902554,106162.5139444432,117295.63848552441,108591.32321619835,126848.6704096453
2020-10-27,102948.3084621281,106162.5139444432,117681.20761884145,109073.400326415,127623.08433402318
2020-10-28,103080.47629790919,106162.5139444432,118782.83371403304,109436.04967038153,128241.46509984531
2020-10-29,103301.08201414961,106162.5139444432,119994.6224187438,110044.77684456663,129243.35428373438
2020-10-30,102788.6836666809,106870.26403740613,117488.42305218293,108608.21673151827,126765.52554392975
2020-11-02,102885.46646805832,106870.26403740613,118259.56131881704,108883.77404152058,127266.16420807746
2020-11-03,103305.39375235552,106870.26403740613,119664.13459018631,109930.41494359246,128939.7110137884
2020-11-04,103312.99739799055,106870.26403740613,120683.13872823853,109934.4189010323,128932.84541111466
2020-11-05,103650.77106077102,106870.26403740613,122776.22830910256,110770.2409682277,130324.03871072517
2020-11-06,103391.2425585185,106870.26403740613,122831.30961386213,110080.7081502715,129301.2984046065
2020-11-09,104085.70318433257,106870.26403740613,125502.75289470176,111853.91907770617,132095.47189611147
2020-11-10,103740.79835242788,106870.26403740613,124759.15528044742,110963.08856897384,130718.94481574373
2020-11-11,103230.2794316241,106870.26403740613,123464.7446185973,109670.57810123036,128711.07077700185
2020-11-12,103302.65893637801,106870.26403740613,123382.12266145795,109859.2492476659,128981.2499151905
2020-11-13,103240.36464910085,106870.26403740613,121977.54939008866,109706.07843928873,128726.42906186641
2020-11-16,103457.1748392771,106870.26403740613,123437.20396621752,110257.61220424154,129617.91029655377
2020-11-17,103164.1034650907,106870.26403740613,123189.3380947994,109500.50783748351,128494.97331837523
2020-11-18,102969.93684964973,106870.26403740613,122996.55352814088,109015.82370821357,127834.5471303351
2020-11-19,103125.0471548772,106870.26403740613,124153.26092809204,109401.33518945653,128427.9536134585
2020-11-20,103298.19275941479,106870.26403740613,124566.37071378889,109837.01288281044,129090.72007449657
2020-11-23,103518.50835482359,106870.26403740613,126163.7285518167,110387.28668111611,129991.02465617529
2020-11-24,103374.7669720663,106870.26403740613,125282.42767566344,110031.21021030586,129442.99602121714
2020-11-25,102897.15267021798,106870.26403740613,123574.90722811647,108815.21550658255,127572.58826390668
2020-11-26,102868.75495815744,106870.26403740613,123767.69179477498,108750.34666266447,127467.69678773335
2020-11-27,103102.09762425246,106870.26403740613,125723.07811374006,109313.49669095557,128368.42452449391
2020-11-30,103063.02250745252,107582.73246432217,125034.56180424531,109231.50539240096,128235.67485792046
2020-12-01,103813.39930438563,107582.73246432217,128091.57421840196,110830.25632490576,130850.0015379992
2020-12-02,103777.62765710484,107582.73246432217,127788.62704222428,110740.4656871368,130712.61191019962
2020-12-03,103947.13736495048,107582.73246432217,127733.54573746471,111142.3286032014,131273.9200698215
2020-12-04,104048.2114531068,107582.73246432217,128036.49291364239,111363.96585230995,131581.14897421908
2020-12-07,103812.71753561177,107582.73246432217,126824.70420893165,110846.53413194334,130828.38074095364
2020-12-08,103844.76072399618,107582.73246432217,126384.05377085503,110926.9946555607,130941.81256023508
2020-12-09,103259.1134395151,107582.73246432217,124731.61462806763,109592.99667182405,129010.54225498512
2020-12-10,103407.43466519249,107582.73246432217,124456.20810426974,109952.85902330381,129506.90946271466
2020-12-11,103063.47499159127,107582.73246432217,122913.9315710015,109155.69578059929,128334.94995737684
2020-12-14,103345.39281759973,107582.73246432217,124125.72027571224,109816.16007621746,129281.22366786283
2020-12-15,103484.85141717491,107582.73246432217,124538.83006140911,110137.2214473598,129738.57454297587
2020-12-16,103400.01758484222,107582.73246432217,124814.23658520699,109956.67556361132,129462.34304557915
2020-12-17,103834.036139379,107582.73246432217,126769.62290417207,110994.2407462608,130967.81241976493
2020-12-18,103658.74470963489,107582.73246432217,125970.94398515816,110566.74467515189,130355.31855189509
2020-12-21,104203.91896620198,107582.73246432217,127210.27334224869,111841.93297027051,132204.73857103204
2020-12-22,103631.7060333584,107582.73246432217,125089.64310900489,110510.37253164302,130261.64714947881
2020-12-23,103788.96222691076,107582.73246432217,126218.80985657628,110876.42649024687,130793.82525675946
2020-12-24,103566.2113320668,107582.73246432217,126218.80985657628,110352.12218819567,130025.80820450641
2020-12-25,103889.67982512577,107582.73246432217,127375.51725652744,111096.77231473394,131074.9975520389
2020-12-28,103790.22318552631,107582.73246432217,127761.08638984451,110879.87004057167,130761.77365403927
2020-12-29,103669.27962081364,107582.73246432217,127320.43595176787,110617.2751063785,130398.72133726774
2020-12-30,104121.30543375584,107582.73246432217,129083.0377040744,111628.05207696123,131804.86192340872
2020-12-31,104884.33356479544,108299.95068075098,132084.9688134715,113345.9272214696,134245.29145735968
2021-01-04,105426.44219800989,108299.95068075098,133379.3794753216,114497.87636494113,135952.72355909782
2021-01-05,105749.67492758868,108299.95068075098,136105.9040609208,115205.10204103464,136894.41812508393
2021-01-06,105893.2296913444,108299.95068075098,137455.39602753046,115536.77376375213,137269.5976530831
2021-01-07,106193.9497273277,108299.95068075098,140677.65235596587,116203.36601452742,138088.75668503312
2021-01-08,106075.69891794666,108299.95068075098,139906.51408933176,115935.51520876224,137734.14434693844
2021-01-11,105569.9967366977,108299.95068075098,138171.45298940502,114839.52497337078,136226.59922275174
2021-01-12,106610.97706180677,108299.95068075098,142577.95737017135,117117.25182880723,139287.06096101925
2021-01-13,106108.50743112218,108299.95068075098,141972.063017816,116009.39717615076,137814.92734518702
2021-01-14,105716.05987097256,108299.95068075098,139135.37582269765,115169.03408751253,136687.16135956408
2021-01-15,105681.61758837616,108299.95068075098,138667.18473224124,115064.2689592267,136554.33987958616
2021-01-18,106200.41439164839,108299.95068075098,140292.08322264883,116223.94888390574,138101.07731713617
2021-01-19,105723.83094598635,108299.95068075098,138226.5342941646,115167.36949452043,136760.6147348326
2021-01-20,106413.88932713056,108299.95068075098,139052.7538655583,116714.87571996369,138685.81214644262
2021-01-21,107172.95877098794,108299.95068075098,141641.5751892585,118407.0490116417,140877.67243226015
2021-01-22,107638.85972309732,108299.95068075098,141724.19714639787,119475.26975688145,142107.21550809804
2021-01-25,107630.15766913925,108299.95068075098,143541.880203464,119475.5830279414,142070.74486429314
2021-01-26,106585.91337492787,108299.95068075098,140237.00191788923,117154.72709346078,139138.19146685756
2021-01-27,106644.18356387419,108299.95068075098,140512.40844168715,117282.90254570423,139310.6375250345
2021-01-28,105714.12023786489,108299.95068075098,136766.87971803575,115218.72183858996,136723.89841886092
2021-01-29,105380.75391848665,109021.95035195598,135747.87557998352,114474.80843607002,135701.0680034542
2021-02-01,105745.01855091668,109021.95035195598,137482.93667991026,115240.07689640237,136668.79524721083
2021-02-02,106196.50221588643,109021.95035195598,139686.18887029344,116197.92891916243,137860.36216678948
2021-02-03,105925.55670137145,109021.95035195598,139520.9449560147,115627.07616605176,137090.7105245149
2021-02-04,105449.47235288433,109021.95035195598,139217.99777983702,114604.68719356318,135748.3416918115
2021-02-05,105376.2182019836,109021.95035195598,139438.32299887532,114449.09516945625,135425.53341856942
2021-02-09,106856.44602028873,109021.95035195598,145221.85999863117,117608.35101836178,139336.5837971373
2021-02-10,107469.1913775515,109021.95035195598,148389.03502230698,118886.32418704046,140812.2896421976
2021-02-18,107072.28313900979,109021.95035195598,147204.78696997603,118050.99737648938,140057.40053374873
2021-02-19,107436.10525774088,109021.95035195598,148086.0878461293,118810.10604187475,141089.29110045254
2021-02-22,106220.36234721661,109021.95035195598,142385.17280351283,116220.2564236489,138087.18810817867
2021-02-23,105927.53574090838,109021.95035195598,141972.063017816,115586.15667423082,137325.19755251985
2021-02-25,104940.86004395028,109021.95035195598,139328.16038935617,113449.47837980071,134841.2110781321
2021-02-26,104082.0365276826,109748.76335430235,135224.6031847675,111616.90464186648,132614.77878340223
2021-03-01,104775.5140262335,109748.76335430235,137675.72124656878,112997.36543184711,134330.62134674864
2021-03-02,104260.21973936504,109748.76335430235,135775.4162323633,111966.78842967357,133137.3889334462
2021-03-03,104998.60590618316,109748.76335430235,138667.18473224124,113415.3032975494,134871.13068662235
