date,symbol,size,kind,price,amount
2020-01-02,511990,999.700189913045,init_buy,100.02999,100000.0
2020-02-03,511990,-5.51209463264233,va_cash_out,99.90602200000001,550.6914476348466
2020-02-03,510300,28.322334028768605,va_buy,3.2406194999999998,91.78190793914109
2020-02-03,510500,20.721942606546534,va_buy,4.4292134999999995,91.78190793914109
2020-02-03,159915,54.931760430647614,va_buy,1.6708349999999998,91.78190793914109
2020-02-03,512100,52.45056599152745,va_buy,1.7498745,91.78190793914109
2020-02-03,512880,102.49836862478381,va_buy,0.8954475,91.78190793914109
2020-02-03,512170,194.35601677792692,va_buy,0.47223599999999993,91.78190793914109
2020-03-02,511990,-12.920804743162066,va_cash_out,99.9490005,1291.4215197347075
2020-03-02,510300,62.23007095115578,va_buy,3.4587285,215.2369199557846
2020-03-02,510500,43.381600177081175,va_buy,4.961479499999999,215.2369199557846
2020-03-02,159915,106.18428197341834,va_buy,2.0270129999999997,215.2369199557846
2020-03-02,512100,106.92313880623536,va_buy,2.013006,215.2369199557846
2020-03-02,512880,214.91444083730823,va_buy,1.0015005,215.2369199557846
2020-03-02,512170,426.8439588852094,va_buy,0.5042519999999999,215.2369199557846
2020-04-01,511990,-21.288821094065145,va_cash_out,99.9549975,2127.924059235229
2020-04-01,510300,111.71659990129051,va_buy,3.1745864999999998,354.65400987253815
2020-04-01,510500,78.68518789939951,va_buy,4.5072525,354.65400987253815
2020-04-01,159915,197.15059593258886,va_buy,1.798899,354.65400987253815
2020-04-01,512100,191.5055491554807,va_buy,1.8519255,354.65400987253815
2020-04-01,512880,384.4650449965236,va_buy,0.922461,354.65400987253815
2020-04-01,512170,746.2668873406207,va_buy,0.4752374999999999,354.65400987253815
2020-05-06,511990,-25.341436180990186,va_cash_out,99.9290105,2532.3446422152483
2020-05-06,510300,125.02860613830845,va_buy,3.375687,422.05744036920805
2020-05-06,510500,87.9213249501152,va_buy,4.800399,422.05744036920805
2020-05-06,159915,213.0537965205317,va_buy,1.9809899999999998,422.05744036920805
2020-05-06,512100,217.67106146060513,va_buy,1.938969,422.05744036920805
2020-05-06,512880,453.11118916289234,va_buy,0.9314655,422.05744036920805
2020-05-06,512170,808.1350902502926,va_buy,0.522261,422.05744036920805
2020-06-01,511990,-31.168815732367836,va_cash_out,99.9430035,3115.105059830894
2020-06-01,510300,152.31133380726203,va_buy,3.4087034999999997,519.1841766384823
2020-06-01,510500,105.64428222340018,va_buy,4.9144559999999995,519.1841766384823
2020-06-01,159915,256.3857283998724,va_buy,2.025012,519.1841766384823
2020-06-01,512100,257.2755152609528,va_buy,2.0180084999999996,519.1841766384823
2020-06-01,512880,557.9835637433781,va_buy,0.930465,519.1841766384823
2020-06-01,512170,911.9942254505125,va_buy,0.5692845,519.1841766384823
2020-07-01,511990,-25.901198446806102,va_cash_out,99.924013,2588.151690314233
2020-07-01,510300,116.65125636650619,va_buy,3.697848,431.35861505237216
2020-07-01,510500,80.43713498705351,va_buy,5.36268,431.35861505237216
2020-07-01,159915,182.4557949769813,va_buy,2.3641815,431.35861505237216
2020-07-01,512100,195.44108954243285,va_buy,2.207103,431.35861505237216
2020-07-01,512880,426.8743005253533,va_buy,1.010505,431.35861505237216
2020-07-01,512170,636.8434911825804,va_buy,0.6773385,431.35861505237216
2020-08-03,511990,-11.362458676383772,va_cash_out,99.94500250000002,1135.620960817323
2020-08-03,510300,44.00455276809618,va_buy,4.3011495,189.2701601362205
2020-08-03,510500,30.986989737927185,va_buy,6.1080525,189.2701601362205
2020-08-03,159915,69.1936987381293,va_buy,2.7353669999999997,189.2701601362205
2020-08-03,512100,73.60917212064028,va_buy,2.5712849999999996,189.2701601362205
